Rating,Reviews
3 stars,"i cant lie and say i wasnt disappointed when i ordered the same thing here as i did in another branch... that might have been in another country, and received something completely different. it was still okay, but my expectations were shut down so quickly 😔 have a look at my other tiger sugar review in montreal and you'll witness true greatness epitomised in a bubble tea beverage

the staff here were really nice at least!"
4 stars,This is the Little Tokyo outlet of Tiger Sugar bubble tea chain. You get to order with a person here as opposed to using a touch screen at some other places. Selection is quite good and they emphasize the variety of sugars and syrups. It is a good choice for Little Tokyo. Of course here you have to use paid parking to enjoy Little Tokyo.
4 stars,"Tried their matcha latte and the strawberry mochi drink, the first was honestly mid but the mochi drink was sweet but good! i would say skip the lattes and go for an specialty drink which is their strongest things on the menu as well seasonal drinks if you have a sweet tooth, there’s a few tables inside for people to sit down."
2 stars,"The wait wasn't too bad when I got here on a Friday afternoon. It didn't take too long to get my order either.

The tea was more on the bitter and less sugar side; not quite for me. The boba in the Black Sugar boba milk was pretty mushy and it tasted like it was sitting for too long during the cooking process."
4 stars,"Drink markets in Little Tokyo is getting more competitive and another boba store just opened.

We got black sugar boba cream and mango sago drinks, oops forgot to order half sweet and it was a little too sweet.

No complain on quality of drinks.
I don’t think they are not the best in this area. Definitely best black sugar taste, but you don’t get many choices besides black sugar.
Boba was a little too firm too.

Mango drink was too thick and sweet for me, the topping was weird (is it pear?), half sweet maybe better."
5 stars,"I got the boba black tea with mochi. It was really good. The owner was around and he's super attentive and made sure you were taken care of. The customer service is really good here. It's a small spot, so not that much room for studying, but I'll definitely pass by anytime I'm in Little Tokyo"
5 stars,"I went in to chat about a job and everyone in the store was so kind. I was offered a drink on the house while I waited, and it was so refreshing. The tea was slightly watery, but otherwise very tasty.

All of the staff were great and took the time to welcome me in and speak with me. The inside of the shop was cozy, and has a great view of the hustle and bustle of Little Tokyo."
5 stars,"The heaven of all things boba! If you already know, you've told your friends. The Thai Tea was perfect!"
5 stars,Owner of this location was hospitable. Provided my friends with sample items for taste testing before we ordered. Boba had good consistency. Milk substitutes available for those who don't want whole milk.
4 stars,"I ordered 3 drinks yesterday and 2 of them were very good! The third one was their brown sugar bubble milk tea, and it was extremely disappointing because it tasted completely like milk and nothing like tea or any other brown sugar drink I've ever tasted. Would definitely recommend people to order other drinks than that one."
5 stars,"Dangerously delicious and addicting. My first try and I got the #3 ""Black Sugar Boba and Pearl Milk Cream Mousse."" Make sure you shake it many times so it mixes well!"
2 stars,"Service was pretty bad. I've had Tiger Sugar in Malaysia all the time, and they taste amazing. Somehow, the branch here in Little Tokyo had bland black sugar cheese mousse bubble tea. I dont know how bubble tea could even taste bland with so much sugar. Might be because they were about to close or prepped the order wrong, will not revisit."
2 stars,"Beware, the prices here are higher than the prices on the menu. Literally scamming you. I asked the lady on register if they know and she told me yes, that the owner haven’t changed them but they are aware."
5 stars,"Boba was chewy!
Little shop with less than 10 chairs where you can people watch the bustling corner of little Tokyo.
Parking is validated for I think 30 minutes for the attached lot."
1 star,"looks can be deceiving
taste bland
little pearl are sticking together like big balls mushy boba
taste like just milk with burned sugar

its my second time to order , 1st one is in lasvegas. yummy chewy. good. here i dont know what happend"
5 stars,"My friend is a stand seller at little Tokyo so we got bobas and the workers were so nice we even got free water refills for the day ice and the boba was so good, I would definitely recommend the boba and it is one of the best bobas I've ever had in my life. You should also try out the other things like their other bobas and more!!!! Love tiger sugar try it out guyssss yum!"
5 stars,Simple one in a million. Excellent customer service and delicious 😋 tea 🧋. Costume made your drink 🥤 of choice and nice ambiance. Great kids working together. …
2 stars,"The female staff member was very kind and likeable, the male staff member wasn't that great but I get it, working minimum wage is exhausting. The rating is really pertaining to the drinks than the staff or even the store itself.

We got the Strawberry Mochi Mousse and it tasted AWFUL! We shook it and it tasted like straight artificial overly sweet flavoring. I love sweets but we only took two sips of our drinks before just throwing the full cups away outside because it was so disgusting. It just tasted so fake and candy-like in the WORST way possible. I got mine with oat milk too, and it somehow added a nutty flavor to the drink but did nothing to make it taste better in any way that mattered.

We got the collab Hello Kitty cups which aren't even reusable, they're just paper cups! What's the point? Plus the tea would leak whenever I tipped the cup even slightly because the film they use to seal the cups was so flimsy. I stirred the straw gently and it tore the film.

Don't waste your money here, Boba Time is right down the street."
5 stars,"Cute little place across from the revolving sushi restaurant. Picked up a Black Sugar Coffee Jelly and a Golden Oolong Tea Latte and they tasted amazing! Service was friendly and the prices are pretty fair compared to lots of other places, especially around Houston!"
5 stars,"Love it! All drinks are so testy!!!  Nice UI design, easy to order. Especially you can adjust your own sugar, ice levels."
