Rating,Reviews
4 stars,This is the Colima outlet of Tiger Sugar boba tea chain. I just tried the black sugar boba with cream large size. I tried this before but this cup had less flavor and not as good as before. This location is inside the strip mall for a drug store chain on the east end.
5 stars,"The service was amazing, always making sure that the drink I got was perfect or he'd offer to re-do it which goes to show how much they care about their product. Staff was super friendly and the good amazing"
5 stars,"First time seeing no huge crowd waiting in line in front of the shop, so I had to stop and get some super famous brown sugar (Tiger Sugar) boba milk tea. They were good, as the ones in Taiwan. Don't compare the price, it costs so much more to hire people than in Taiwan. I don't live close enough to drink this everyday or whenever I want. As long as it tastes good when I get it, I am satisfied."
3 stars,"I guess they had their grand opening a few weeks ago but it's still pretty crowded. It took about 15 mins for us to get through the order line and another 15 mins to get our order. It's honestly not bad but not great either...but for almost $6 for a boba drink, I would go somewhere else until the lines die down. Their bathroom looks like it's still under construction with no hooks for purses and tape on the mirrors. There was also a guy putting up their sign outside that took up some parking spaces. Maybe I've had brown sugar boba already so I'm not super wowed by it, but still try it for yourself to judge whether it's worth the wait or not."
5 stars,"Unparalleled service. We walked in and were immediately greeted with a warm welcome. The owner suggested the brown sugar boba with tea after we were being indecisive.
He then made it quickly and it was so delicious. The boba is perfectly soft and chewy."
5 stars,Wow! They opened a Tiger Sugar here in Rowland Heights! I believe the last time I had this was over a year ago in Taiwan. Glad to see some of these places that are popular in Taiwan come to the states. It seems like they have an easy online …
5 stars,"Went on a weekday night so there was no line.  The drinks are on the sweet side so ask for half sugar.  Had the #1 drink the most popular one, wish the tea taste a bit stronger but the milk was prefect.  $5 for the drink"
5 stars,"So many places that offer drinks with boba in the area, but this was the spot. It was small, no seating inside. It was crowded and you need to wait outside when you order. The store needs to add more seating outside. I will definitely go again. 5 minutes from the 60 fwy. Pricey."
5 stars,This place has very limited options but to be honest that is wonderful because you get in and out real quickly. The drinks are definitely delicious. The time to make an order varies by day and time. But it is totally worth just trying out this place at least ones but I suggest asking what is the most favorite item. They have traditional Boba and sago the smaller version of it. They're both chewy and sweet.
5 stars,I’ve been heard my friends talk about this place for a long time. We waited for a little while and got into the store. My expectation was too high but it’s still decent boba for me. I like the milk and  I think the milk that they use is different from others. But if you ask me to spend 2 hours waiting in line that’s impossible.
4 stars,"We ordered 3 large Brown Sugar Boba milk tea; $19 and some changes.  The boba textures were little too sticky outside and semi hard on the inside, so we concluded that their boba pearls were not fresh at that particular time (around 1pm). The brown sugar syrup flavor dominates the main taste which is nice.  We will try again next time and hope to gain better experience."
