Rating,Reviews
5 stars,"It was my first time trying their Bubble tea, and it is really good! The waiting time is short. I also appreciate the convenience of being able to order either online or at a kiosk.
I recommend the Black Sugar Boba.🧋 …"
4 stars,"i had 2 different drinks from this location. the first was the strawberry mochi, which was fine, though not sweet almost at all. but, the second was amazing. it was the strawberry slush, i highly recommend that drink!"
1 star,"Shake 15 times. The cups lid where the seal met exploded on both my mine and my friends tea now our jackets, pants, and hand is covered in sugar. Never has this happened to me ordered many times from this location. Annoyed yo the max will have to dry clean my jacket now which I just did last week."
1 star,"Rude lady. Got a #10. The straw provided was way too small and kept falling in. When asked for a straw that would actually fit, she rudely replied that they just have one size.
How am I even supposed to drink this. Never coming here again."
5 stars,This place is a nice boba tea shop!🧋 Tiger Sugar 🐯 in Korea Town 🗽 serves an endless selection of delicious 🤤 milk 🥛 tea 🍵 drinks! 🥤 They even have Jumbo Boba! ⚫  I can adjust the amount of sugar and ice 🧊 in each drinks and easily order through an automated kiosk tablet. 📱 Service is super quick. ⏲️  I wish I came here more often!
5 stars,My new favorite boba place! Try their popular brown sugar milk tea with less sugar and less ice. I prefer it with no cream. Their strawberry mochi is also pretty good!
5 stars,"Tiger sugar is the best bubble tea spot in NYC. THAT BROWN SUGAR IS TO DIE FOR! customers service is relatively fast, depending on whose there. But sometimes I see mad orders and 2 workers. They pump out them teas like a factory while maintaining quality control."
5 stars,This is one my favorite bubble tea spots in manhattan. It's in such a central location and easy to get to. I think they have one of the tastiest bobas ever. I highly recommend their brown sugar milk and the taro milk drink.
5 stars,"My favorite tiger sugar in the city.

Is it pricey? Yes
Is it yummy? Totally
Is it worth it? Hello yes hell yea

They offer milk alternatives like soy, coconut, oat for lactose haters like me. I recommend coconut milk! The mango pomelo is also delicious and my go to if I’m looking for something refreshing"
5 stars,"One of the best places for bubble tea.
Theres only 2 self checkout kiosks and people take so long to put in their order. …"
5 stars,"Authentic Taiwanese boba with great prices and so many flavors to choose from the menu. I particularly like the fact that they have a touch screen in front of the store for self-order. It's a game changer. It makes everything easier, faster and less awkward especially for busy people like I am. I can simply order by myself and adjust the drinks the way I like it without having to answer questions from a cashier person. Smart operation! Highly recommended!"
4 stars,Got mango sago. It was great but the mango wasn’t ripe. It was noticeably hard and sour. My wife got lychee tea (F4) and we loved it!! Has a strong flavor but isn’t too sweet which I find is rare as far as lychee stuff goes. Staff was rude honestly. Definitely don’t go if you have hearing issues as the person behind the register was impatient with me for not being able to hear her as I lip read a lot and she had a mask on.
5 stars,"Really yummy bubble tea! There’s always a line but wanted to try. You can order at kiosk outside or scan to order online.
Love that there is a non-dairy option (soy milk). The black sugar boba is delish. Yes, it’s a little sweet and you can’t adjust the sweetness on the milk teas but it was good. Really good price too.
I went back and tried their matcha and mango boba drinks. As a huge matcha addict, it wasn’t as good as I expected but the mango was tasty. I think they excel with their tiger sugar milk teas."
1 star,The staff treat blacknpeople like trash. I asked staff add more sugar before they made the drink.they didn't listen. When I asked 2nd time they gavevme attitude speech they can't add more sugar after spending $8.hire more inclusive staff there all asian.this os america share dollar
5 stars,"Tiger sugar is Top 3 of my favourite bubble tea store in NYC.  Black Sugar Boba with Pearl Milk is the best for me.

Caution: Finding the right sweetness balance is crucial. Be mindful to ensure your preference aligns with the sweetness offered for the best enjoyment."
4 stars,"Came by in the afternoon to try the Hello Kitty crush but disappointed to find out that it already sold out for the day. All the drinks do come in the Hello Kitty cups though so that's a good consolation.

There are two tablets to order from, one inside and one outside the store. There were only two people working when I visited so the staff made the drinks in batches. It was the first time I ever waited 20 minutes for a bubble tea drink."
2 stars,Ordered a BS milk with boba & cream mousse yesterday 4pm and there was no cream mousse in it. I was mostly craving the cream mousse :( Like that’s only 2 toppings when the store’s empty with 1 drink waiting on the counter how do you even miss that?? Gimme my money back🙄 …
4 stars,"It's a pretty small place, has a kiosk outside to order at. The wait time is a bit long but the drinks were all very good!!"
4 stars,"I’ve heard about this place and have been wanting to try it in forever. Finally got to check it out today with my coworker, second bubble tea shop this year around the area after trying fiftylan last week. Pricing is cheaper here compared to fiftylan and drinks are comparable.

Decent bubble tea shop, could use friendlier staff though, kiosks shows you more options than ordering with a person, they also only take cash if you order with the staff. I’d pick the kiosks going forward with my experience. You can also get points and redeem it in the future for a free drink.

I picked their signature drink, brown sugar boba with less ice and less sugar and whole milk and cream on the top. Good to try if you haven’t had it. The tapioca came in different sizes which threw me off a bit, haven’t had mixed size bubble/pearls so that was interesting. Flavor is pretty authentic coming from someone who drinks bubble tea growing up in taiwan :) so good to give it a shot!

I went right around when they opened so there was no line, around 12:35ish."
5 stars,Escaped the rain and we were going to try another Boba place close to BCD but drinks were $10+. Ran into this shop and tried the fresh taro with small boba..holy molay that was good
5 stars,"So glad that I no longer need to travel to Chinatown or Flushing for Tiger Sugar!

I stopped by on a Thursday night, and the service was fast! This location is slightly smaller than the one in Chinatown.

I had to get my favorite - no. 5 black sugar boba + pudding milk with cream mousse. Yum!

I liked the idea of having a paper straw -  but guess what, it doesn't work on the film that was covering the drink!

The drink was delicious, creamy, and the black sugar boba was divine - this is coming from someone that doesn't like bobas.

The only thing I'd suggest for this business is to serve it with less ice. I was having a hard time fishing out my pudding and boba as they were sitting underneath all the ice cubes."
5 stars,"Probably only place with boba coffee with pearls, both hot and cold. Loved it, Def going back to try different things next time. Healthy and customizable"
2 stars,"I’m a weekly boba drinker, and this is one of the worst bubble teas I’ve had in NYC. I got the brown sugar milk tea with tapioca, and it was almost all ice and water with little flavor. I’m pretty sure they’re using covered cups to deter you from seeing how it’s all ice. I can’t believe I wasted $7.50 on this when there are so many options in K-Town. I do not recommend."
5 stars,Went two days in a row! Had black tea with black sugar boba with 50% sugar. The tea has a strong tea flavor which we love. Some places you can tell the tea was light and watered down. The boba has soft texture and good black sugar flavor. …
5 stars,"The boba is really good. Lines aren’t very long or slow, so it’s great. The service was good and there are many fruit options which I really liked. Definitely a place to check out."
5 stars,"I'm so happy that another location opened! You can't go wrong with their signature drink.
It's definitely a closer location for me and their drinks are always delicious! …"
1 star,"I ordered 3 Milk Boba Pearl Tiger Jelly drinks; I asked for less ice and instead got the whole cup full of ice- I could barely taste the drink. 😱 For my 3 extra large drinks order I was offered no bag to carry it all and no straws. When I asked for a bag and straws,  the lady at the counter without saying a word threw my drinks into a bag and pushed it towards me…

Honestly, I don’t get this attitude.
I suppose, it’s a way of showing me that I didn’t add a tip when ordering my drinks at their touch screen menu…?  The place doesn’t even have a seating area; you order your $8 drink and go; why tips are being extorted?"
5 stars,"Been coming to Tiger Sugar for years now, mainly the Ctown location. So it’s great to see them in Koreatown. The drinks are great and the staff are always helpful. You can order in person, via kiosk, or from Snackpass (online). I recommend getting their signature, #1 but definitely should try others if you can!"
5 stars,Most amazing boba I've ever had 🥰🥰 so delicious and chewy! Perfect level of sweet. Definitely recommend if you're looking for a treat!
2 stars,"not the typical type of boba drinks. If you are looking for dessert-like drinks then this may be the place for you. We ordered boba pudding milk tea. The milk tea and boba are pale, even soulless. The ingredient ratio is off. Tastes like a combination of different types of artificial sweets. Not worth the wait and definitely won’t come back."
5 stars,Finally tried their boba and loved it. My bf had the Mochi one w tapioca and I had the large tapioca brown sugar. The wait line is long but it’s really convenient to order through their self service machine.
5 stars,Whenever I go to K-town I come here for boba. Just wanted to give my thanks to the worker here this evening on Nov. 26 who held onto the bag I had forgotten. I could have lost my shoes for good 🥹❤️ …
