Rating,Reviews,Cluster
5,"The aesthetic is very cozy and inviting!! The customer service from the people working was amazing, they explained a lot of the menu items to us and were very nice!! Best boba place I’ve been to in a minute, definitely try it out! AMAZING 10/10",4
5,"Tiger sugar is the epitome of a welcoming environment. The workers and owner have a generous spirit in customer service. I love the boba, croffles, and tayaki from here! Recommended going here with friends and family!",4
5,"If you are in or near Greenwood, IN looking for delicious boba teas or milks and incredible desserts then this is a must stop. The ambiance is very warm and welcoming with plenty of seating to include lounge and couches. Owners and staff are very friendly. There is something here for everyone.",4
3,"A friend of mine had a negative experience here but I wanted to experience it firsthand and give this place a try. I liked the interior and ambiance. Service was okay. Bathrooms were clean. The teas I ordered were Thai and Classic Taro. Personally, the brown sugar overpowered the flavor because it was absent of one. Short answer is: my friend was right!",4
5,I never give reviews but i wanted to let yall know the guy working there was super friendly and kind! He made us feel welcomed and the drinks were delicious as well! I had the matcha & my boyfriend got their signature drink & the kiddo got a mango slush and we all LOVED our drinks. The place was also very clean & cozy!,4
1,"WOW, this place is slow and so expensive and imho, not worth the wait or the price. I took my son here 2 days ago, and there was a bunch of people sitting waiting for their drinks(I wish I would have noticed that)! We ordered 2 teas at 12:46PM I received my receipt via SMS. Then we waited...During our wait, the gentlemen that took our order, called out numbers for people waiting only to ask them what they wanted to substitute as they were out of something that went in their drink(this happened twice). Then when it was his turn to make my sons tea, he said, sorry but we are out of passionfruit Boba. What would you like to substitute it with?

So finally at 1:17 he called our number and we got our drinks. I got the peach tea, with popping peach BOBA, and honestly as if the wait wasn't long enough, the tea was horrible. I was so disappointed! My son told me he would rather go to the mall and get one there next time, so I guess that is what we will do.

I would avoid this place at all costs, at least until they have their staffing and ordering of products straight. Just my 2¢",4
5,"Very delicious, I’ve always heard of this because it’s so popular in Asia and New York and other bigger cities. I’m so glad we have one here! By looking at it you would think it’s super sweet, but it’s actually not at all. Creamy and just right amount of sugar, it has a very nice black roast flavor. I would recommend this to everyone.",4
5,"I “need” and “want” to try other menu items (especially a “croffle”)  but I just love the Mango Sago SO much!  😂

LOVE the ambience and staff!

Give ‘em a try!",2
5,"From the food to the place, everything is so well done. The customer service was amazing with their greetings as soon as you come in. The decorations make me feel comfortable and welcoming with the woodsy feeling. Variety of boba and croffles to choose from, but everything has been tasty!!",4
5,tiger sugar is one of the best places to take pics with my friends. i just come when i want to relax and chill. the workers are always friendly and nice to chat with. definitely would recommend!!!,4
5,"Been there twice so far and plan on coming back!

I love that the drinks are a little less on the sweet side than most boba shops. Good texture boba",4
5,"Highly reccomend stopping in and trying this place. The decorations inside felt very sterile. Very simple but clean. The drinks are def the star of the show. I tried a mango slush, which had real mango in the bottom. I love mango and this was very tasty. My wife ordered the number 1. This was a different level. It had boba pearls and milk pearls and the drink flavor was excellent. Fantastic carmel and brown sugar flavors with coffee tones too. Can't wait to try more on the menu.",4
5,We've been here a few times now and all of the staff are so friendly and welcoming! The bobas are tasty and the snacks are yummy! Highly recommend!,4
5,I love this place! I love the atmosphere and the drinks. The workers are wonderful. Plants add a nice touch. 10/10 recommend,2
5,"The owners are so nice and understanable. The employees are trained well and the store is always so clean, smells really good, and is asthectically pleasing. Drinks are super enjoyable and the best part about the store.",4
5,My son comes every chance he gets to get the #7 Taro Pudding with black sugar boba!,0
5,They’re the best. I got pickup today for my daughter and the guy was so nice and sweet and helpful. Thank you. Thank you so much.,2
5,The employees were so nice and the boba was excellent to taste. Definitely recommend this being your new boba spot to hang out!,4
5,"If you are looking fresh soft bobas, this is the place. We tried couple of drinks, they were all great. Must try place!",0
5,New boba place….I love their passion Fruit…. I will be back for another flavor… highly recommended …,0
4,New bubble tea spot on south side of Indy. The place is nice and clean and the drinks are delicious. I will go back.,4
5,Definitely happy to have a great boba shop near home. The staff is kind and helpful.,4
5,"The drinks are delicious!!! The taro black tea has real Taro! Not just powder like other places! Also many drinks came with boba,  pudding or cream foam, the price is relatively good with all the extras! But best is how good the drink taste!",0
5,Great staff Best drink I have had in a long time been twice already!,2
5,the sink was so cool and I like the matcha,1
5,"The best place for boba and drinks...coming back again for sure
service was good and owner is very friendly and aproachable",4
1,60% ice. Too much ice and not much drink. Also the XL size drink is $1 more on Doordash even if you choose pickup in store.,0
5,"They had a very good customer service, which all the workers were really nice. The service was quick and it was still one of the best drinks. The ambience and atmosphere were really beautiful. Fully recommended. P.S one of the cleanest bathrooms you’ll see.",4
5,"Absolutely delicious!!! I'm new to this Boba thing,  but this place is great!!",0
5,I love their boba. The drinks are very delicious and way better than other boba places. I am glad we have Tiger Sugar in Indianapolis.,0
5,Awesome new find in south-side Indianapolis. Just north of greenwood mall. Decor inside matches perfectly to the delightful teas. They have a wide variety of drinks to choose from.,4
3,"I got the matcha drink
Pros:
I enjoyed the taste of the matcha! It didn’t have a grassy taste + the interior was pretty
Con:
-I wasn’t a fan of the tapioca boba
-The size of the cups were misleading because their L was basically a standard size (medium/regular)",0
5,"Excellent customer service. Drinks are amazing & delicious.. highly recommend.
I finally found where to get my favorite boba drinks..",2
1,"Although the service and atmosphere was good, the boba did not taste good for the price. I feel as though you can get a better boba somewhere else for the same price.",4
2,The owner was trash talking another local teahouse IN FRONT of their employees just to promote his own business. I believe that your products should be able to stand on their own legs if they're truly good. It left a sour taste in my mouth.,4
5,Love all they have to offer. They have board games and great music. Perfect for small hangout or date. Wish more people knew about this place.,2
1,The boba didn’t taste good at all and workers there were really outgoing and greedy. Overall this was not a good boba shop to go to,4
5,Opening day at Tiger Sugar! It’s busy but the atmosphere was great. People were friendly. The F3 is amazing. You have to try them!,0
5,Loving these new fancy Boba places. Good drinks and positive vibes.,2
1,"They charged my credit card twice, and ignore my message to request a refund. Be careful when you shop here.",4
5,Great boba spot. I personally love the strawberry mochi,0
5,"The customer service is nice. I was greeted immediately when I first walked in. I ordered 5 different drinks, and it came out super quick.",4
5,Great service. The owner is really nice and friendly. The drinks are so yummy. Highly recommended.,2
1,The boba taste super bad I wouldn’t recommend but the decor and the employees were very sweet and nice,4
5,This place is a new boba in town and not only it’s new it’s the best boba place in town. You don’t want to miss it!!! Go and stop by.,4
5,"Nice customer service, very clean, and the boba is 10/10 definitely will come back!",2
5,"First time, I'll be there many more..trust me 👍👍 …",2
5,very authentic very juicy boba,1
5,"Super nice people, great tea. I went twice today. Yum.",2
5,Nice workers complimented my shirt,1
5,Best boba in town? got that right! 1000 + aura 😍,2
5,Good vibes here to chill with friends and amazing music hits to listen here,4
3,Too too too sweet! Only drink a little bit.,2
5,Brown sugar is insanely good.,0
5,preciate the free boba,1
5,Amazing,3
5,Best in town,3
5,Free drinks,3
5,My all time favorite boba place! The drinks never disappoint and everyone is super nice.,4
5,BEST DUMB EVERRRR NO 🧢 …,3
