Reviews,Marketing,llama_cluster,Rating,Comment
"4 - The discount is appealing, and I'd consider trying it within the next couple of weeks.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"The discount is appealing, and I'd consider trying it within the next couple of weeks."
5 - The offer and discount encourage me to visit soon and enjoy my favorite boba.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,The offer and discount encourage me to visit soon and enjoy my favorite boba.
5 - Love discounts and trying new things. Can't wait to visit this weekend.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,Love discounts and trying new things. Can't wait to visit this weekend.
"4 - The discount is appealing, and I'm interested in trying it soon.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"The discount is appealing, and I'm interested in trying it soon."
5 - Excited about the 20% discount and the chance to try what seems to be the best boba in town this weekend.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,Excited about the 20% discount and the chance to try what seems to be the best boba in town this weekend.
5 - The 20% discount makes trying the top-rated boba enticing and affordable for this weekend.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,The 20% discount makes trying the top-rated boba enticing and affordable for this weekend.
5 - I love Tiger Sugar and am excited about the discount. Will visit this weekend to enjoy my favorite boba.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,I love Tiger Sugar and am excited about the discount. Will visit this weekend to enjoy my favorite boba.
"4 - I'm interested due to the discount and positive reviews, might visit soon.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"I'm interested due to the discount and positive reviews, might visit soon."
"4 - The discount is appealing, and I enjoy their boba, so I'm likely to visit within the next week or two.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"The discount is appealing, and I enjoy their boba, so I'm likely to visit within the next week or two."
"5 - The 20% discount offers great value, and I'm eager to experience the difference at Tiger Sugar soon.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,"The 20% discount offers great value, and I'm eager to experience the difference at Tiger Sugar soon."
"4 - The discount is appealing and motivates me to visit soon; however, I might not go immediately.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"The discount is appealing and motivates me to visit soon; however, I might not go immediately."
"4 - Interested due to the discount and positive past experiences, plan to visit soon.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"Interested due to the discount and positive past experiences, plan to visit soon."
"4 - The offer is appealing with a discount, enhancing my interest to visit soon and enjoy the popular boba.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"The offer is appealing with a discount, enhancing my interest to visit soon and enjoy the popular boba."
5 - Great offer with a discount and motivating tagline.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,Great offer with a discount and motivating tagline.
"5 - The 20% discount is enticing, and the promise of high-quality boba piques my interest to visit soon.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,"The 20% discount is enticing, and the promise of high-quality boba piques my interest to visit soon."
"4 - The discount is appealing, and I'm likely to visit in the next week to enjoy Tiger Sugar.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"The discount is appealing, and I'm likely to visit in the next week to enjoy Tiger Sugar."
